Week,Month,Date,Day,Module,Topic,Slides,Reading,Quizzes,Projects
1,Aug,23,Tue,,Introduction,L1_Course_Overview,-,,Intro to Python
1,Aug,25,Thu,Sorting,Six aspects of robotics systems,L2_Intro_to_Robot_Systems,-,,
2,Aug,30,Tue,Sorting,"State, probability, and actions",L3_Trash_Robot_1,-,,P1: Probability and Decision Theory
2,Sep,1,Thu,Sorting,Sensor Models,L4_Trash_Robot_2,-,,
3,Sep,6,Tue,Sorting,Perception and Planning,L5_Trash_Robot_3,-,,
3,Sep,8,Thu,Vacuum,Probabilistic Actions,L6_Vacuuming_Robot_1,-,Quiz 1,
4,Sep,13,Tue,Vacuum,Controlled Markov Chains,L7_Vacuuming_Robot_2,-,,P2: HMM and MDP
4,Sep,15,Thu,Vacuum,Sensors and Bayes Nets,L8_Vacuuming_Robot_3,-,,
5,Sep,20,Tue,Vacuum,Inference in HMMs,L9_Vacuuming_Robot_4,-,,
5,Sep,22,Thu,Vacuum,Markov Decision Processes,L10_Vacuuming_Robot_5,-,Quiz 2,
6,Sep,27,Tue,Logistics,Continuus State and Action,L11_Logistics_Robot_1,-,,P3: Particle Filters
6,Sep,29,Thu,Logistics,Continuous Motion and Sensing,L12_Logistics_Robot_2,-,,
7,Oct,4,Tue,Logistics,Markov Localization and MCL,L13_Logistics_Robot_3,-,,
7,Oct,6,Thu,Logistics,More MCL and MDPs,L14_Logistics_Robot_4,-,Quiz 3,
8,Oct,11,Tue,Duckiebot,Differential Drive,L15_DDRs_1,5.1-5.2,,"P3 due, pause on projects until Oct 10"
8,Oct,13,Thu,Duckiebot,Cameras and Image Processing,L16_DDRs_2,5.3,,
9,Oct,18,Tue,Fall Break,-,-,-,,
9,Oct,20,Thu,Duckiebot,Computer Vision 101,L17_DDRs_3_vision,5.4,,
10,Oct,25,Tue,Duckiebot,Inference with Deep Nets,L18_DDRs_4_RRTs,5.5,,P4: Deep Learning
10,Oct,27,Thu,Duckiebot,Deep Learning,L19_DDRs_5_learning,5.6,Quiz 4,
11,Nov,1,Tue,Vehicles,Autonomous Vehicles and SE(2),L20_Driving_1_SE2,6.1,,
11,Nov,3,Thu,Vehicles,Ackerman steering,L21_Driving_2_Kinematics,6.2,,
12,Nov,8,Tue,Vehicles,LIDAR sensors,L22_Driving_3_LIDAR,6.3,,P5: Pose SLAM and LIDAR
12,Nov,10,Thu,Vehicles,ICP and Pose SLAM,L23_Driving_4_SLAM,6.4,,P4 Due
13,Nov,15,Tue,Vehicles,Planning for Driving,L24_Driving_5_Planning,6.5,Quiz 5,
13,Nov,17,Thu,Drone,SE(3),L24_Drones_1_SE3,7.1,,
14,Nov,22,Tue,Drone,Actions for Drones,L25_Drones_2_Actions,7.2,,P6: RRT and/or Trajectory Optimization
14,Nov,24,Thu,Thanksgiving,Thanksgiving,-,-,,
15,Nov,29,Tue,Drone,Drone sensors,L26_Drones_3_Sensing,7.3,,
15,Dec,1,Thu,Drone,Trajectory Optimization & RRT,L27_Drones_4_Planning,7.5,Quiz 6,
16,Dec,6,Tue,Drone,Visual SLAM,-,7.4,,"P6 due, all quizzes graded!"
,,,,,,,,,
,,,,,,,,,
